City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,sarajevo,43.8486,18.3564,293.1,42,0,1.03,BA,1714466266
283,bamboo flat,11.7,92.7167,305.72,54,30,4.39,IN,1714466416
284,northam,51.0333,-4.2167,286.29,91,100,8.79,GB,1714466417
285,saipan,15.1355,145.701,302.54,70,20,6.69,MP,1714466417
286,sao joao da barra,-21.6403,-41.0511,296.1,91,0,2.5,BR,1714466417
287,vila franca do campo,37.7167,-25.4333,291.42,99,14,1.42,PT,1714466417
288,fortuna,40.5982,-124.1573,280.74,94,100,1.54,US,1714466417
289,yen bai,21.7,104.8667,314.45,25,26,0.45,VN,1714466418
290,happy valley-goose bay,53.3168,-60.3315,269.32,93,100,5.66,CA,1714466418
291,guatrache,-37.6678,-63.5302,282.68,58,45,4.41,AR,1714466418
292,newman,37.3138,-121.0208,286.28,72,0,0.89,US,1714466418
293,kashgar,39.4547,75.9797,285.71,58,75,4.0,CN,1714466418
294,taoudenni,22.6783,-3.9836,297.95,13,100,5.94,ML,1714466418
295,las heras,-46.5419,-68.9359,277.43,79,72,9.77,AR,1714466419
296,camocim,-2.9022,-40.8411,297.66,92,97,6.69,BR,1714466419
297,menzel kamel,35.6248,10.6673,291.84,94,75,4.63,TN,1714466419
298,gambiran satu,-8.3939,114.1464,299.33,90,91,0.72,ID,1714466419
299,xinzhi,36.4989,111.7047,293.79,28,63,0.57,CN,1714466419
300,bintulu,3.1667,113.0333,306.38,62,40,2.57,MY,1714466420
301,kristiansund,63.1115,7.732,287.51,35,0,3.09,NO,1714466420
302,thurso,58.5927,-3.5259,284.29,70,15,5.23,GB,1714466420
303,broome,42.2506,-75.833,291.36,81,75,2.57,US,1714466420
304,haiku-pauwela,20.9219,-156.3051,295.95,77,20,5.14,US,1714466420
305,huron,41.1501,-82.5499,289.25,97,100,1.29,US,1714466420
306,misratah,32.3754,15.0925,295.4,64,100,3.02,LY,1714466421
307,saurimo,-9.6608,20.3916,298.46,45,68,3.63,AO,1714466421
308,hanzhong,33.0728,107.0303,291.91,48,52,3.74,CN,1714466421
309,rajanpur,29.1035,70.325,307.58,8,0,3.8,PK,1714466421
310,harnai,30.1005,67.9374,297.32,11,0,1.73,PK,1714466422
311,arraial do cabo,-22.9661,-42.0278,296.85,91,0,5.89,BR,1714466422
312,skiathos,39.1623,23.4909,291.24,72,75,3.09,GR,1714466422
313,gondar,12.6,37.4667,300.3,19,8,2.91,ET,1714466422
314,imbituba,-28.24,-48.6703,297.51,94,2,4.39,BR,1714466422
315,egilsstadir,65.2653,-14.3948,276.1,93,100,7.72,IS,1714466422
316,hede,33.7681,120.2517,285.36,68,100,3.91,CN,1714466423
317,mola di bari,41.0609,17.0873,299.03,56,14,2.54,IT,1714466423
318,mao,39.8885,4.2658,289.46,100,75,5.14,ES,1714466423
319,qinnan,33.2531,119.9133,285.01,69,100,4.48,CN,1714466423
320,maridi,4.9158,29.4742,309.67,28,5,1.64,SS,1714466423
321,ishimbay,53.4545,56.0415,282.19,55,41,5.38,RU,1714466171
322,cururupu,-1.8283,-44.8683,295.99,100,97,0.52,BR,1714466423
323,lubango,-14.9172,13.4925,294.07,43,0,4.63,AO,1714466424
324,djibo,14.1022,-1.6306,308.17,21,73,9.69,BF,1714466424
325,gilgit,35.9221,74.3087,284.64,54,74,2.46,PK,1714466424
326,puerto ayora,-0.7393,-90.3518,295.68,97,7,0.45,EC,1714466424
